matchday,date,time,home_team,away_team,result,status,,,,,,,,,,
34,12/04/2026,19:00,Municipal Pérez Zeledón,Puntarenas FC,3-3,Final,,,,,,,,,,
34,12/04/2026,19:00,Sporting FC,LD Alajuelense,0-2,Final,,,,,,,,,,
34,12/04/2026,19:00,Deportivo Saprissa,Municipal Liberia,1-2,Final,,,,,,,,,,
34,13/04/2026,19:00,AD San Carlos,Guadalupe,4-0,Final,,,,,,,,,,
35,18/04/2026,19:00,Municipal Liberia,CS Cartaginés,1-0,Final,,,,,,,,,,
35,19/04/2026,19:00,Guadalupe,Municipal Pérez Zeledón,1-0,Final,,,,,,,,,,
35,19/04/2026,19:00,Puntarenas FC,Sporting FC,1-2,Final,,,,,,,,,,
35,19/04/2026,19:00,CS Herediano,AD San Carlos,1-0,Final,,,,,,,,,,
35,20/04/2026,19:00,LD Alajuelense,Deportivo Saprissa,1-1,Final,,,,,,,,,,
36,22/04/2026,19:00,Sporting FC,Municipal Liberia,0-1,Final,,,,,,,,,,
36,22/04/2026,19:00,CS Cartaginés,AD San Carlos,2-1,Final,,,,,,,,,,
36,23/04/2026,19:00,Municipal Pérez Zeledón,CS Herediano,0-1,Final,,,,,,,,,,
36,23/04/2026,19:00,Deportivo Saprissa,Guadalupe,5-0,Final,,,,,,,,,,
36,24/04/2026,19:00,LD Alajuelense,Puntarenas FC,5-2,Final,,,,,,,,,,
37,25/04/2026,19:00,AD San Carlos,Municipal Pérez Zeledón,1-1,Final,,,,,,,,,,
37,26/04/2026,19:00,CS Herediano,Sporting FC,0-0,Final,,,,,,,,,,
37,27/04/2026,19:00,Guadalupe,CS Cartaginés,0-5,Final,,,,,,,,,,
37,27/04/2026,19:00,Municipal Liberia,LD Alajuelense,2-1,Final,,,,,,,,,,
37,27/04/2026,19:00,Puntarenas FC,Deportivo Saprissa,1-3,Final,,,,,,,,,,
38,03/05/2026,19:00,CS Cartaginés,CS Herediano,0-1,Final,,,,,,,,,,
38,04/05/2026,19:00,Municipal Liberia,Deportivo Saprissa,1-1,Final,,,,,,,,,,
39,09/05/2026,21:00,CS Herediano,CS Cartaginés,0-0,Final,,,,,,,,,,
39,10/05/2026,17:00,Deportivo Saprissa,Municipal Liberia,2-0,Final,,,,,,,,,,
39,10/05/2026,17:00,Deportivo Saprissa,CS Herediano,2-1,Final,,,,,,,,,,
39,10/05/2026,17:00,CS Herediano,Deportivo Saprissa,2-0,Final,,,,,,,,,,
