1. Jornada
"Instituto de Córdoba
2:1
Deportivo Morón"
23. Jornada
28.08.2021
"Güemes de SdE
0:2
Independiente Rivadavia"
"Almagro
1:0
Atlético Rafaela"
"Tristan Suárez
2:0
Gimnasia de Jujuy"
"San Telmo
2:1
San Martín de San Juan"
"All Boys
0:0
Villa Dálmine"
"Defensores de Belgrano
0:3
Brown de Adrogué"
29.08.2021
"Ramón Santamarina
1:1
Guillermo Brown"
"Ferro Carril Oeste
3:1
Instituto de Córdoba"
"Deportivo Morón
2:0
Barracas Central"
24. Jornada
03.09.2021
"Barracas Central
0:0
Ferro Carril Oeste"
"San Martín de San Juan
1:0
Defensores de Belgrano"
04.09.2021
"Atlético Rafaela
1:1
Güemes de SdE"
"Brown de Adrogué
2:0
Ramón Santamarina"
"Gimnasia de Jujuy
1:0
All Boys"
"Instituto de Córdoba
1:2
Tristan Suárez"
"Villa Dálmine
3:3
San Telmo"
"Guillermo Brown
1:0
Almagro"
"Independiente Rivadavia
2:0
Deportivo Morón"
25. Jornada
08.09.2021
"Güemes de SdE
0:3
Guillermo Brown"
09.09.2021
"Gimnasia de Jujuy
2:0
Instituto de Córdoba"
10.09.2021
"Ferro Carril Oeste
6:0
Independiente Rivadavia"
"Tristan Suárez
2:2
Barracas Central"
"Defensores de Belgrano
2:0
Villa Dálmine"
"Ramón Santamarina
0:0
San Martín de San Juan"
"Almagro
5:0
Brown de Adrogué"
13.09.2021
"All Boys
3:0
San Telmo"
23.09.2021
"Deportivo Morón
0:0
Atlético Rafaela"
26. Jornada
17.09.2021
"Atlético Rafaela
1:1
Ferro Carril Oeste"
"Brown de Adrogué
1:3
Güemes de SdE"
"San Martín de San Juan
1:1
Almagro"
18.09.2021
"Barracas Central
1:1
Gimnasia de Jujuy"
"Villa Dálmine
1:0
Ramón Santamarina"
"Guillermo Brown
0:1
Deportivo Morón"
19.09.2021
"San Telmo
0:0
Defensores de Belgrano"
"Independiente Rivadavia
1:2
Tristan Suárez"
20.09.2021
"Instituto de Córdoba
1:2
All Boys"
27. Jornada
25.09.2021
"Tristan Suárez
1:2
Atlético Rafaela"
"Güemes de SdE
1:0
San Martín de San Juan"
"Ramón Santamarina
0:2
San Telmo"
"Almagro
1:2
Villa Dálmine"
"Ferro Carril Oeste
0:0
Guillermo Brown"
26.09.2021
"Gimnasia de Jujuy
1:1
Independiente Rivadavia"
"Instituto de Córdoba
1:0
Barracas Central"
28.09.2021
"Deportivo Morón
0:2
Brown de Adrogué"
29.09.2021
"All Boys
2:0
Defensores de Belgrano"
28. Jornada
01.10.2021
"San Telmo
2:1
Almagro"
"Villa Dálmine
2:1
Güemes de SdE"
02.10.2021
"Atlético Rafaela
2:0
Gimnasia de Jujuy"
"Barracas Central
2:1
All Boys"
"Guillermo Brown
0:0
Tristan Suárez"
"San Martín de San Juan
1:1
Deportivo Morón"
03.10.2021
"Independiente Rivadavia
2:1
Instituto de Córdoba"
"Brown de Adrogué
1:3
Ferro Carril Oeste"
04.10.2021
"Defensores de Belgrano
0:0
Ramón Santamarina"
29. Jornada
08.10.2021
"Güemes de SdE
1:1
San Telmo"
09.10.2021
"Instituto de Córdoba
2:1
Atlético Rafaela"
"Tristan Suárez
2:2
Brown de Adrogué"
"Gimnasia de Jujuy
3:1
Guillermo Brown"
"Barracas Central
1:3
Independiente Rivadavia"
"Deportivo Morón
0:2
Villa Dálmine"
"Almagro
2:0
Defensores de Belgrano"
11.10.2021
"All Boys
0:0
Ramón Santamarina"
"Ferro Carril Oeste
3:2
San Martín de San Juan"
30. Jornada
16.10.2021
"Defensores de Belgrano
1:0
Güemes de SdE"
"Atlético Rafaela
0:2
Barracas Central"
"Brown de Adrogué
1:1
Gimnasia de Jujuy"
"Ramón Santamarina
1:1
Almagro"
17.10.2021
"San Martín de San Juan
4:0
Tristan Suárez"
"Guillermo Brown
1:1
Instituto de Córdoba"
"Independiente Rivadavia
2:2
All Boys"
18.10.2021
"San Telmo
0:1
Deportivo Morón"
20.10.2021
"Villa Dálmine
1:1
Ferro Carril Oeste"
31. Jornada
22.10.2021
"Güemes de SdE
3:0
Ramón Santamarina"
23.10.2021
"Independiente Rivadavia
3:2
Atlético Rafaela"
"Tristan Suárez
1:1
Villa Dálmine"
"All Boys
1:1
Almagro"
"Barracas Central
0:0
Guillermo Brown"
"Deportivo Morón
3:0
Defensores de Belgrano"
24.10.2021
"Gimnasia de Jujuy
1:0
San Martín de San Juan"
26.10.2021
"Instituto de Córdoba
2:2
Brown de Adrogué"
27.10.2021
"Ferro Carril Oeste
6:0
San Telmo"
32. Jornada
30.10.2021
"Atlético Rafaela
2:0
All Boys"
"Ramón Santamarina
2:0
Deportivo Morón"
"San Martín de San Juan
1:0
Instituto de Córdoba"
"Villa Dálmine
1:1
Gimnasia de Jujuy"
31.10.2021
"Brown de Adrogué
1:2
Barracas Central"
"San Telmo
0:1
Tristan Suárez"
"Guillermo Brown
0:2
Independiente Rivadavia"
"Defensores de Belgrano
0:2
Ferro Carril Oeste"
01.11.2021
"Almagro
0:0
Güemes de SdE"
33. Jornada
06.11.2021
"Instituto de Córdoba
1:1
Villa Dálmine"
"Atlético Rafaela
0:1
Guillermo Brown"
"Tristan Suárez
0:0
Defensores de Belgrano"
"Deportivo Morón
1:0
Almagro"
07.11.2021
"All Boys
1:2
Güemes de SdE"
"Gimnasia de Jujuy
2:1
San Telmo"
"Barracas Central
3:0
San Martín de San Juan"
08.11.2021
"Ferro Carril Oeste
2:0
Ramón Santamarina"
09.11.2021
"Independiente Rivadavia
2:1
Brown de Adrogué"
34. Jornada
12.11.2021
"Guillermo Brown
1:0
All Boys"
15.11.2021
"Almagro
2:3
Ferro Carril Oeste"
"Brown de Adrogué
2:1
Atlético Rafaela"
"San Martín de San Juan
0:1
Independiente Rivadavia"
"Güemes de SdE
1:2
Deportivo Morón"
"Defensores de Belgrano
0:1
Gimnasia de Jujuy"
"San Telmo
0:1
Instituto de Córdoba"
"Ramón Santamarina
0:0
Tristan Suárez"
"Villa Dálmine
1:3
Barracas Central"
